山东 , 100944728 , 未知 , 风流倜傥夜三少 , 495 , 4 , 0 , 
山东 , 189746840 , 未知 , 务底 , 5 , 3 , 0 , 666
湖南 , 189780985 , 未知 , 风动心摇树 , 5347 , 11 , 12 , 消えないものは消えない.
江西 , 189808507 , 未知 , 孩子们该上潮了 , 133 , 1 , 0 , 我嘞个大鸣盛世啊
广东 , 189812894 , 未知 , 君之影子君 , 101 , 5 , 1 , 可叹，落叶飘零
江苏 , 189821354 , 未知 , 莲子和莲华 , 1860 , 6 , 1 , 
安徽 , 189845657 , 未知 , 炼金术士白垩 , 56 , 5 , 0 , 于是乎
海南 , 189896925 , 未知 , 旋转的仓鼠 , 63640 , 195 , 17 , 唯岩永固
河南 , 189923174 , 未知 , 神里绫人阿波卡利斯 , 214 , 1 , 0 , 
贵州 , 189923345 , 男 , 帽里有猫猫 , 16 , 3 , 2 , 永远潇洒自由
福建 , 189955778 , 未知 , Ookoi , 260 , 2 , 0 , 逍遥自在乐子人，悠闲看贴找乐子。
浙江 , 189976091 , 未知 , ForGetBe , 331 , 11 , 4 , 你不妨回头看看，在这葱茏天地，佳木荫下，你我就如同相逢的那一瞬，目光汇处，有清泉涌动
广西 , 190018543 , 男 , 丷大梦谁先醒丷 , 185 , 1 , 0 , 开心
上海 , 190090744 , 男 , 冥龍 , 435 , 3 , 5 , 鱼～好大的鱼～虎纹鲨鱼～
山东 , 190138511 , 未知 , 青城阳光版 , 187 , 12 , 0 , 
四川 , 190174680 , 未知 , 哄你ming , 7 , 4 , 0 , 你别多想
河北 , 190204043 , 男 , FoYeah , 28 , 18 , 0 , 阿巴阿巴阿巴
辽宁 , 190215874 , 未知 , 千孛 , 119 , 4 , 0 , 嘿嘿嘿
河北 , 190216446 , 未知 , 姿鱼 , 7 , 30 , 0 , 快乐丑旧
湖北 , 190222179 , 未知 , 伊北以南q , 238 , 8 , 0 , 啊团长你就是歌姬吧
湖北 , 190248038 , 未知 , Hassanxx , 606 , 6 , 23 , 
河南 , 190259325 , 未知 , 派大星离开了 , 260 , 3 , 0 , 系统原装签名，送给每一个小可爱~
安徽 , 190267204 , 未知 , 丸的料理人 , 575 , 28 , 2 , 神里神里神里神里
广东 , 190318909 , 未知 , ftnUfveneTNRNnZ , 8 , 4 , 0 , 
福建 , 190413145 , 未知 , 于长安重逢 , 40 , 3 , 0 , 三言两语冷我心
江苏 , 19041899 , 未知 , 秘密哦 , 171 , 4 , 1 , 啥都是敏感词，还讨论个啥
山西 , 190475033 , 未知 , 念泉 , 17 , 8 , 0 , 。。。
湖北 , 190535462 , 未知 , 爱帽tv , 15316 , 2 , 16 , 散宝啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
河南 , 190579512 , 未知 , 不渡噢 , 34 , 10 , 0 , 额额
浙江 , 190596145 , 未知 , 分分够不够 , 2 , 6 , 0 , 比比划划
广东 , 1906116 , 未知 , 独君惜月 , 43 , 5 , 1 , 个性签名
广东 , 190679172 , 未知 , 叶霜p , 197 , 5 , 11 , 八重老婆
山东 , 190750139 , 未知 , 张央天 , 2 , 3 , 0 , 1
广东 , 190769285 , 未知 , O克瑟 , 181 , 11 , 0 , 别看了，我早就不玩原神了
广西 , 190787814 , 未知 , 风月归心 , 1263 , 27 , 0 , 不管你想到了什么，至少你说服了自己。
贵州 , 190814842 , 未知 , 潇潇烟雨寒 , 4 , 8 , 0 , 阿西吧
广东 , 190829774 , 未知 , planl , 35 , 0 , 0 , 别走，跑起来
福建 , 19083078 , 未知 , 钟一久 , 272 , 0 , 0 , 
湖南 , 19091055 , 未知 , 晴明不知火 , 0 , 11 , 0 , 。。。。
广东 , 190933418 , 未知 , 囤囤猫 , 659 , 0 , 2 , 心情简单。
湖北 , 190963265 , 未知 , pROOnGwFulvoVKxEFyd , 23 , 3 , 0 , 起飞
云南 , 190990586 , 未知 , 已经到终点了 , 253 , 0 , 0 , 签锤子
贵州 , 19103055 , 未知 , orasKRgtHw , 1 , 0 , 0 , 为了神里
广西 , 191066634 , 未知 , cUSeqjXTrQhIgq , 46 , 2 , 0 , 
山东 , 191087713 , 未知 , 酸欠费 , 0 , 0 , 0 , 6
上海 , 191335050 , 女 , 茧英 , 23385 , 73 , 2293 , 大别野避难群：816557600（q群）
辽宁 , 191460861 , 未知 , 尐丠 , 8733 , 5 , 28 , 啦啦啦～回坑啦～
重庆 , 191482848 , 未知 , LNon , 50 , 2 , 0 , qewq
江苏 , 191519214 , 未知 , 乂晨 , 195 , 8 , 0 , 
荷兰 , 191564277 , 未知 , 游听白 , 360 , 0 , 0 , 
陕西 , 191619226 , 未知 , 串山甲 , 15 , 9 , 0 , 【吾等所盼，乃七声哀叹】
浙江 , 191619542 , 未知 , 这可莉害了呀 , 396 , 18 , 2 , 好爱☔宝❤️❤️❤️
山西 , 191620213 , 男 , 枫橙且66 , 9 , 4 , 0 , 啦啦啦
广东 , 191689647 , 未知 , Sage丶蓝发君 , 106 , 6 , 4 , 嘿 嘿 嘿~~
广东 , 191698193 , 未知 , 哎哟装死 , 283 , 8 , 1 , shuijun
湖南 , 191768033 , 未知 , 赤红的纯骑兵 , 50 , 2 , 0 , d
浙江 , 191790155 , 未知 , Bakelite , 82 , 10 , 0 , 原罪！
湖南 , 191826958 , 未知 , 神代時雨Shigure , 22 , 12 , 0 , 摆烂玩家
湖北 , 191914133 , 未知 , 一片赤心向Venti , 198 , 1 , 1 , 1
广东 , 191985815 , 未知 , 沐橙muchen , 55 , 3 , 1 , 琉璃天涯虚无路，又见故人山鬼谣
天津 , 192003171 , 女 , 叶祀故余 , 145 , 7 , 0 , qwq
四川 , 192031486 , 未知 , HT海棠 , 3344 , 12 , 8 , 风带来故事的种子，时间使之发芽
四川 , 192078219 , 未知 , 萌7777 , 156 , 18 , 1 , 忠！诚！
河北 , 192102219 , 未知 , 淦不出金 , 28 , 2 , 0 , (>﹏<)
广东 , 192122322 , 男 , 玩不了老 , 4 , 9 , 0 , 。
江苏 , 192129755 , 未知 , Ylimk , 0 , 1 , 0 , 。。。
云南 , 192230249 , 未知 , 月儿怜 , 248 , 9 , 1 , 声起立华月独奏，曲末音无心结弦
重庆 , 192288939 , 未知 , 周晓熜 , 121 , 24 , 2 , 加强一下刻晴
江苏 , 192294882 , 未知 , 心动又不是心定 , 19 , 2 , 0 , 早早早
江苏 , 192403036 , 未知 , 剪剪233 , 0 , 6 , 0 , 1
广东 , 192428679 , 未知 , 烟尘与 , 8 , 4 , 0 , 这个人很懒，什么也没有留下
广东 , 192446804 , 未知 , 小吴. , 380 , 12 , 1 , .
四川 , 192474858 , 未知 , kUFRIgSwpHX , 91 , 0 , 1 , 街灯の下の少女
江西 , 192510957 , 女 , 一迷失 , 855 , 22 , 0 , 不知道马什么好QAQ
江苏 , 192548225 , 未知 , 咪哈友野跌 , 88 , 138 , 1 , 啊
江苏 , 192593685 , 男 , 梦由 , 223 , 21 , 1 , 知足常乐，退一步越想越气
四川 , 192608068 , 未知 , 我卡里可怜 , 4 , 11 , 0 , 得得
山西 , 192608863 , 男 , 夏翊xiayi , 111647 , 145 , 25136 , 夢裡不覺秋已深，餘情豈是為他人。
福建 , 192611255 , 未知 , 吃阮饭的男人 , 50474 , 30 , 20 , 
山东 , 192627913 , 未知 , 32号室 , 1623 , 9 , 6 , 八重嘿嘿嘿八重嘿嘿嘿
四川 , 192627934 , 男 , 按b吃菜真君 , 3740 , 32 , 2 , 啦啦啦～
河南 , 192661170 , 未知 , 断鸿丶 , 41054 , 11 , 68 , 我永远守护申鹤，间桐樱和克拉拉！！！！
浙江 , 192666450 , 男 , wuxino3o , 729 , 23 , 1 , 孤独的进化者
江苏 , 192705199 , 未知 , Yanyanya , 3 , 14 , 0 , 
河南 , 192730091 , 男 , 夜访女儿国 , 384 , 11 , 1 , ……
上海 , 192733405 , 未知 , Ensei , 3286 , 10 , 1 , 妮露有脚我有嘴
江苏 , 192762361 , 未知 , 冻成冰块 , 224 , 17 , 0 , 终于有姥爷了
广东 , 192769875 , 未知 , 箛行 , 7 , 8 , 0 , 一路独行
广西 , 192784461 , 未知 , 这个名字又被用了 , 5 , 2 , 0 , 来个五星
河南 , 19282070 , 未知 , ꦿ־希儿トᮁꦿ꙰־ , 1 , 29 , 8 , 𖠚ᐝ
贵州 , 192850314 , 未知 , NachoOffical , 24 , 1 , 0 , 循此苦旅，直抵群星.
湖南 , 192969305 , 未知 , 神秘游龙霹雳火 , 124 , 5 , 0 , 冷静
上海 , 192997090 , 未知 , ～(￣▽￣～)~Aq , 64 , 24 , 1 , 太稳了
福建 , 193115793 , 未知 , Koery , 49 , 4 , 0 , 嗯
湖北 , 19312057 , 未知 , daifx , 1 , 6 , 2 , 
德国 , 193140781 , 未知 , 朱诺zieft , 4400 , 40 , 17 , 
江西 , 193177426 , 男 , 窝巢er , 61636 , 97 , 83 , 海鸥别叫啦
广东 , 193245890 , 未知 , 绝交的起飞龙 , 77 , 14 , 0 , 
四川 , 193342664 , 未知 , rap篮球xxx , 79 , 7 , 0 , 小黑子暴露了吧？
云南 , 193358822 , 未知 , 鲁徒 , 2 , 6 , 0 , 
广西 , 193391966 , 未知 , 皓月憨憨怪 , 102 , 2 , 1 , 啦啦啦
贵州 , 193563055 , 未知 , 有派蒙旅行者 , 83 , 0 , 0 , 
浙江 , 193609384 , 未知 , 谜忽悠666 , 963 , 7 , 2 , 
广东 , 193613522 , 未知 , z7667d , 1048 , 12 , 0 , 。
河北 , 193674716 , 未知 , 溜星宇 , 19 , 17 , 0 , 
广东 , 193827739 , 未知 , 幽谷潺潺 , 277 , 3 , 0 , 。
四川 , 193863144 , 未知 , XnftjXptrGOQs , 39 , 1 , 0 , 来了来了来了
湖北 , 193893770 , 未知 , 二货道士李白 , 37 , 3 , 0 , ，
四川 , 193894958 , 未知 , 青寂 , 262 , 2 , 0 , 日月更替，不复过往
安徽 , 193913404 , 男 , ☞“离か☜ , 141 , 1 , 0 , 不乐观的说，我是个好人
江苏 , 193931768 , 未知 , NBg , 566 , 2 , 2 , 不可被定义，因为这是原神的勇者大人
山西 , 193993446 , 未知 , 天人作呕 , 131 , 7 , 2 , awa
福建 , 194048329 , 未知 , 仓鼠球19 , 36 , 4 , 0 , 祭礼剑
广东 , 194082333 , 未知 , yisu , 7392 , 16 , 11 , 水的合情合理。
上海 , 194132369 , 未知 , 真难取223 , 100 , 5 , 1 , diudiudiu
广东 , 194142265 , 未知 , 放烟花琉璃 , 142 , 0 , 1 , 该喝喝vvv
安徽 , 194169845 , 未知 , 铭sk , 372 , 11 , 0 , 会萤吗？会萤的
湖北 , 194296426 , 女 , 交给女仆吧 , 4 , 9 , 0 , moon
四川 , 19434293 , 未知 , 黑百葵 , 440 , 1 , 1 , 摄像头
广东 , 194381572 , 未知 , 拉小提琴的陈同学 , 779 , 5 , 2 , 
广东 , 194381782 , 未知 , 卫宫士郎丶丿 , 5 , 2 , 0 , 吖
黑龙江 , 194448503 , 未知 , 旅行者176323674 , 48 , 25 , 0 , 
四川 , 194488682 , 男 , get鞥 , 25 , 6 , 1 , 踏遍🍁去寻你
黑龙江 , 194504268 , 未知 , 我不是心随 , 2 , 0 , 0 , 
海南 , 194552320 , 男 , 鲁壬饶 , 228 , 23 , 0 , 
贵州 , 194571466 , 未知 , 祈愿天晴 , 0 , 3 , 0 , 不想写作业
广东 , 194586484 , 未知 , 卢锅巴真爱粉 , 44 , 4 , 0 , 
河南 , 194595158 , 未知 , 单抽不歪履刑者 , 42 , 1 , 1 , 芜湖
广东 , 194627327 , 男 , 柳下乘凉的小洋 , 3 , 7 , 0 , 2023 1 22 好安静啊
贵州 , 194659695 , 男 , 懒羽尘曦 , 161 , 0 , 1 , 。。。
吉林 , 194694831 , 未知 , 斗湖L , 8 , 1 , 0 , 纳西妲~我的小可爱
河南 , 194726772 , 男 , 人无二度秋呢 , 12818 , 24 , 5 , 风华正茂
湖南 , 194730848 , 未知 , bkllhvb , 5284 , 3 , 4 , 嗨
加拿大 , 1947651 , 未知 , 弦卷友希那 , 2279 , 0 , 60 , 皇女艾咪 想寄就寄
广西 , 194765737 , 未知 , VtqAxheKQO , 51 , 1 , 0 , 。。
山东 , 194916174 , 未知 , 允川 , 213 , 23 , 0 , 
湖北 , 19495925 , 未知 , 默陌、 , 85 , 29 , 13 , 言念君子，温其如玉。
湖南 , 194980420 , 未知 , Hanser是天使 , 0 , 3 , 0 , 
重庆 , 195016322 , 未知 , 肝就完了¥ , 430 , 506 , 1 , 祝各位旅行者和舰长 欧气爆棚！
安徽 , 195194495 , 男 , 夜架一生推 , 5 , 0 , 0 , 等水神
广东 , 195241932 , 未知 , krpGGgUQLn , 152 , 0 , 0 , 
四川 , 195594707 , 未知 , 妄q , 295 , 10 , 2 , 潮水啊，我又回来啦
山东 , 195615743 , 未知 , 可以睡午觉了 , 5 , 5 , 0 , ……
湖南 , 195653471 , 男 , 白白滴白菜 , 702 , 12 , 5 , 略略略
新疆 , 195774593 , 未知 , kastarr , 55 , 0 , 0 , 丨
江苏 , 195828595 , 未知 , 黛夏 , 24 , 2 , 0 , 
江苏 , 195928806 , 男 , 大C云游 , 279 , 36 , 1 , 哒哒哒
广东 , 195954617 , 未知 , 勿谓言之不预矣 , 598 , 16 , 4 , 醉后不知天在水，满船清梦压星河
广东 , 196128968 , 未知 , 绘梨衣Iala , 10 , 12 , 0 , 
广西 , 196290033 , 未知 , laire薄红 , 71 , 29 , 1 , 和米桑不共戴天
河北 , 196348893 , 未知 , 懒懒的瞌睡 , 172 , 7 , 1 , 我是人机，别查成分了
河南 , 196357287 , 未知 , 九万念 , 151 , 1 , 1 , 让我推鸣神组怎么了！
安徽 , 196556080 , 未知 , 41115005 , 8 , 2 , 1 , 
广东 , 196620005 , 未知 , 黐 , 456 , 6 , 0 , 1
江苏 , 196625836 , 未知 , 机器人9528 , 3682 , 0 , 7 , 饭圈愿神    uid：118659559
江苏 , 196678281 , 未知 , 聴书人 , 0 , 2 , 0 , 哎嘿
湖南 , 196734373 , 未知 , 85667435 , 151 , 7 , 0 , 
山西 , 196751604 , 未知 , kQuhBCbvCdQZNDubtCX , 110 , 0 , 0 , 
海南 , 196773122 , 未知 , 阿帽哥哥好帅捏 , 106 , 9 , 0 , 原宝你没错，错的是我们，一定要坚持住
广东 , 196803729 , 未知 , 貳狗子 , 14 , 10 , 0 , 。
安徽 , 196836729 , 未知 , 20051028 , 0 , 9 , 0 , qwq
河北 , 196854181 , 未知 , 十万摩拉真君 , 3803 , 65 , 76 , 一切向前看
广东 , 196946964 , 女 , 空气成空 , 53 , 11 , 0 , 空气荔枝要希鸭～
新疆 , 197119211 , 未知 , 喜欢枣伊吕波 , 4928 , 26 , 22 , 我看着你的脸~轻刷着和弦~
新疆 , 197137667 , 未知 , furina666 , 15194 , 9 , 26 , 你说的对，但我曾。
广东 , 197166209 , 未知 , 来蛇来蛇 , 322 , 2 , 1 , 
湖北 , 197285926 , 未知 , 薇鹅莉特嘎嘎嘎 , 267 , 22 , 0 , 盒盒盒盒盒盒盒！
广东 , 197287979 , 未知 , 微风断弦 , 53 , 1 , 0 , 没有从天而降的英雄，只有挺身而出的凡人
重庆 , 197320847 , 未知 , 湫爔 , 58 , 3 , 0 , 咿呀
浙江 , 197362333 , 未知 , 小文哥是大魔王 , 21123 , 281 , 78 , 雷光所照，永恒之土。
云南 , 197387760 , 男 , 秋随秋风至 , 261 , 8 , 1 , 相信奇迹的人本身和奇迹一样了不起
山东 , 197420849 , 未知 , 仙梦无痕 , 19 , 32 , 0 , 
广东 , 197476142 , 未知 , 非酋三哥 , 179 , 8 , 0 , 
四川 , 197476418 , 未知 , 曼珠纱华 , 104 , 0 , 0 , …
重庆 , 197479813 , 未知 , 我自人海坠落 , 51 , 1 , 0 , 
北京 , 197504586 , 未知 , 她的心禁止访 , 10565 , 29 , 15 , 
河北 , 197520348 , 未知 , 南城北望 , 209 , 1 , 1 , 未来可期
湖南 , 197934577 , 未知 , 树叶的一生只为归根 , 34 , 10 , 0 , 
安徽 , 197956576 , 未知 , iHGvSPLHtdTdNJ , 1 , 0 , 0 , 呵呵
天津 , 197974286 , 未知 , 树下素轻颜 , 180 , 68 , 0 , 准备冲锋了哈哈哈哈哈哈给我封了啊
山西 , 197990913 , 男 , 北辰北屿 , 2 , 17 , 0 , 循此苦旅，终抵群星。
广东 , 198022102 , 未知 , 散猫猫可爱呐 , 4738 , 5 , 7 , 
上海 , 198227898 , 未知 , 三千大梦叙平生 , 67 , 13 , 3 , 转运转运
湖南 , 198395310 , 女 , 低雅 , 68 , 11 , 0 , 枣碎以之祢悠件，仍栩效资吹尚腆
山东 , 198413008 , 未知 , 小舟灬潮 , 5304 , 13 , 4 , 谁要当我的Mr.Q💃💃💃💃💃💃
贵州 , 198514430 , 未知 , 左久良 , 24201 , 5 , 42 , 
广东 , 198557493 , 未知 , 星夜雪 , 48 , 5 , 0 , 。。。。
广东 , 198578694 , 未知 , 奶香的一刀哎 , 642 , 10 , 1 , 
广东 , 198735594 , 男 , 盖世小飞侠嗷 , 24 , 27 , 0 , 欧气满满！！！
吉林 , 19885335 , 未知 , 孤儿游戏不值得 , 62 , 3 , 0 , 崩门永存！！！
江苏 , 199276026 , 未知 , mihayiii , 1044 , 6 , 0 , 
山东 , 199276336 , 未知 , Okatu , 9 , 2 , 0 , 非洲酋长
天津 , 199280176 , 男 , 寒冬睿雪 , 181 , 26 , 0 , 不想在刷渡火本了(´-ωก`)
河南 , 199305760 , 未知 , 迥立阊阖生长风 , 22 , 3 , 0 , 
江苏 , 199507806 , 未知 , 魏硕硕 , 5 , 8 , 2 , 
广东 , 199517264 , 未知 , 八号院校 , 14 , 1 , 0 , mmmmmmmmm
安徽 , 199628248 , 未知 , 谁人不识云中君 , 4247 , 19 , 8 , 小丑🤡
吉林 , 199634336 , 未知 , 不高洁的羽无痕sama , 502 , 6 , 3 , 不是大号，大号在亚服，不信私信发截图
四川 , 199742859 , 未知 , 瓦瓦罗特 , 34 , 7 , 0 , 啊这
四川 , 199754792 , 男 , 雨丶夜v , 10 , 12 , 0 , 
广东 , 199793223 , 未知 , 永远喜欢森蚺唉 , 69 , 5 , 0 , 系统原装签名，送给每一位小可爱～
云南 , 199928528 , 未知 , PetrichorYu , 3046 , 11 , 0 , 但行好事，莫问前程
河北 , 200076835 , 未知 , 不放过吃饭呀 , 38 , 1 , 0 , 
广东 , 200087097 , 未知 , 圣遗物坐牢中太好玩了 , 17 , 48 , 0 , 
江苏 , 200105861 , 未知 , 追求永生的七七 , 195 , 9 , 1 , 味道不错
河北 , 200146656 , 男 , xgLzKhanLgGhcwOdVIA , 727 , 19 , 5 , 原神不好玩
上海 , 20048448 , 未知 , 两仪一干也 , 110 , 5 , 1 , 
山西 , 200490484 , 男 , 惟鲁 , 26199 , 9 , 58 , 无灾无病
广东 , 200561662 , 未知 , qhgd , 231 , 18 , 1 , 若是无法反抗，那便笑着面对
陕西 , 200695784 , 未知 , 逢春生 , 42 , 9 , 0 , bshshaj
山东 , 200795241 , 未知 , MRUYL , 28 , 199 , 0 , 系统原装签名，给每一位小可爱～
浙江 , 200820661 , 未知 , 雭貔投子 , 101 , 10 , 0 , 我是傻
山东 , 201054677 , 未知 , 嗯呢嗯呢嗯呢嗯呢呢 , 11841 , 183 , 27 , 亻尔女子
广西 , 201087486 , 未知 , 幻想乡最强战力琪露诺 , 33 , 4 , 0 , 蒸蒸日上嗷
广东 , 201095753 , 未知 , pSSFWBLDJrduNyk , 43 , 0 , 0 , 
海南 , 201102014 , 男 , 雷优和我 , 1673 , 7 , 6 , 我可不是正常人，我是顶天立地的优菈厨！
福建 , 201114559 , 未知 , 簫曉 , 45 , 12 , 0 , 原来名字全被用了，迫不得已啊
河南 , 201292577 , 男 , 竹凡 , 9 , 0 , 0 , 连续发生的奇迹
安徽 , 201369661 , 未知 , 唐帝 , 120 , 5 , 1 , (๑❛ᴗ❛๑)
安徽 , 201389617 , 未知 , 什一q , 113 , 2 , 0 , 
广东 , 201398885 , 未知 , hoxiou , 59 , 0 , 0 , 
江西 , 201427868 , 男 , 星之卡比国王 , 181 , 7 , 2 , 哈哈哈
广东 , 20142974 , 未知 , WZ120 , 122 , 3 , 0 , 
海南 , 201445756 , 未知 , 初之辉光 , 233 , 1 , 1 , 
山西 , 202250239 , 男 , 依偎星空之下 , 522 , 15 , 0 , 么么
重庆 , 202376967 , 未知 , 可可爱爱没有脑袋哒 , 188 , 7 , 1 , 
湖南 , 202720068 , 未知 , 纯净的虾仁 , 69 , 2 , 0 , 。。。
上海 , 202782881 , 男 , Ycjdr , 58 , 5 , 0 , 洛影雨中晴
北京 , 202842258 , 未知 , 派大鑫9 , 4 , 0 , 0 , 
山西 , 203256729 , 未知 , 没原石的屑冰涧 , 300 , 2 , 0 , 散厨一边去
江西 , 203284400 , 未知 , 牢景真好看 , 1546 , 5 , 5 , ⸂⸂⸜👊⸝⸃⸃⸂⸂⸜👊⸝⸃⸃
广西 , 203353355 , 未知 , 哈利波特衫衫 , 522 , 5 , 0 , ヽ(○^㉨^)ﾉ♪
广西 , 203405025 , 未知 , 柚y子 , 8 , 0 , 0 , 
四川 , 203426044 , 男 , 空白無敗北 , 8 , 52 , 0 , =_=
广西 , 203524246 , 未知 , 虚无缥缈l , 127 , 0 , 0 , .
陕西 , 203643401 , 未知 , 艾像一阵风 , 60 , 16 , 0 , 
湖南 , 203688814 , 未知 , 松绪前 , 203 , 3 , 0 , 烟花易逝，人情长存
广东 , 203695884 , 男 , 不落之歌 , 936 , 1 , 1 , 那我也不知道啊
安徽 , 203733682 , 未知 , 等迪迦 , 453 , 1 , 2 , 再见
山东 , 203783454 , 未知 , 万将 , 680 , 3 , 1 , 觉得累了就休息下吧
河南 , 203833001 , 未知 , 楚厨 , 5 , 1 , 0 , 
江西 , 203852193 , 未知 , 幻想花丹云 , 4 , 2 , 0 , ？？？？！！！
广西 , 203923658 , 男 , 夜雨灵尘 , 158 , 19 , 1 , 因为没有了斗争，就没有解决问题，最后只会让自己也陷入深渊。
贵州 , 20394166 , 男 , 冬冬冬冬冬冬冬 , 2 , 3 , 0 , 
广西 , 203976824 , 未知 , 网瘾少女觉觉 , 5 , 6 , 2 , 🐬totsugeki！🐬
山西 , 204065613 , 未知 , 云之魚丶 , 35182 , 173 , 176 , 
安徽 , 204235273 , 男 , 守夜2020 , 3 , 5 , 0 , 不想玩了
吉林 , 204356123 , 未知 , 叽叽咕咕k , 813 , 30 , 1 , 甘雨
山西 , 204386205 , 未知 , o时迁o , 1793 , 8 , 5 , 拥抱沉没成本监狱，钱包有自己生活
山东 , 204426742 , 未知 , 紫槿云柚 , 103 , 0 , 0 , ，
广东 , 204590825 , 男 , 只爱小彦卿 , 17158 , 11 , 30 , 彦卿小剑士帅帅哒
陕西 , 204852323 , 男 , 碳吡啶 , 1391 , 0 , 2 , 你以为换上另一副面孔，改成另一个身份，往日的罪孽，就一笔勾销了？
河北 , 205104563 , 未知 , vGYOZbpFBEvqXoXiyhL , 196 , 0 , 0 , 
山东 , 205382798 , 未知 , 芝心脆脆 , 15 , 2 , 0 , 
上海 , 205673901 , 未知 , 米菈大贤者 , 59 , 5 , 0 , 愿此行 终抵群星
陕西 , 205830638 , 未知 , 湖中秋狗 , 315 , 6 , 0 , 我爱中国
湖北 , 206179778 , 未知 , 破袜子 , 25 , 5 , 0 , 
山西 , 206218693 , 未知 , 瑾s , 274 , 1 , 1 , gxkkyftdjdgmdbigxxgk
广东 , 206334989 , 未知 , 咘叽叽叽 , 7 , 4 , 0 , 梁拌咯
广西 , 206339565 , 未知 , 好名都没有 , 21 , 5 , 1 , 
浙江 , 206493630 , 未知 , 在下风神厨 , 793 , 20 , 2 , 在下风神厨。
四川 , 206519345 , 男 , 柒冀 , 2844 , 262 , 12 , 嘿！
重庆 , 206543180 , 未知 , dhrbdhdbdyb , 48 , 8 , 0 , 
广东 , 206606047 , 未知 , 商留鱼 , 515 , 30 , 2 , 小保底必不歪之术！
福建 , 20665949 , 未知 , 余三七 , 17 , 1 , 0 , 。
广东 , 206661139 , 女 , llssnn , 54 , 2 , 1 , 八嘎
安徽 , 206663304 , 未知 , 裴影 , 381 , 11 , 4 , 
福建 , 206762879 , 未知 , 亥咯 , 275 , 16 , 1 , 。
山东 , 206793794 , 未知 , lntro , 413 , 34 , 0 , 系统原装签名
山东 , 206802500 , 未知 , 米饭12 , 160 , 18 , 0 , 58635
云南 , 206825217 , 未知 , 大梦5494 , 1 , 0 , 0 , 
广东 , 20692140 , 未知 , 聆听灬风 , 19 , 10 , 1 , 聆听最美的风声
浙江 , 207027748 , 未知 , 陪着我好不好 , 5 , 2 , 1 , 
江苏 , 207058503 , 未知 , 浅沫沫冲冲冲 , 9 , 4 , 0 , 二次元就应该下地狱
广东 , 207116319 , 未知 , 三月丶流萤 , 46 , 87 , 1 , 想着星辰与深渊，愿此行终抵群星。使一颗心免于哀伤。
河南 , 207130464 , 未知 , 荧出 , 9 , 5 , 0 , 啊啊
湖北 , 207138669 , 未知 , 晓猪满月 , 22 , 0 , 0 , 原神现在还有吸引力吗
江苏 , 207197849 , 男 , 声似雨 , 61 , 14 , 1 , 好像忘记了什么重要的事情
江苏 , 207201359 , 未知 , 窝滴心比刀硬 , 251 , 6 , 0 , 胡桃，我滴老婆
湖南 , 207322986 , 未知 , 本人想不出名字了 , 17 , 0 , 0 , 
辽宁 , 20733535 , 未知 , 阿娜丝塔夏 , 980 , 10 , 1 , ～(￣▽￣～)~
陕西 , 207384009 , 女 , 三日的秋天 , 13420 , 152 , 9 , 这个人很懒，连签名都懒得编辑
湖北 , 207421396 , 未知 , qZhOGSQIGUwPjOKmXDj , 17 , 0 , 0 , 
江苏 , 207529172 , 未知 , 哦哈呦O , 11 , 3 , 0 , 芸豆
江苏 , 207562069 , 未知 , 比从前快了 , 1405 , 0 , 4 , 又甘又刻
湖北 , 207853465 , 未知 , 买了的号找回sm , 0 , 0 , 0 , 
广东 , 208325112 , 未知 , 啦德玛西亚啦 , 3342 , 14 , 2 , 抽卡忒倒霉了
河南 , 208335033 , 未知 , 昵称咋不能重复 , 17066 , 57 , 24 , 无意逐鹿
江苏 , 208366754 , 未知 , chenleii , 6 , 1 , 0 , 
安徽 , 208427585 , 未知 , 叶子不生 , 24 , 4 , 0 , 略略略
四川 , 208486675 , 未知 , 取名真麻烦a , 57 , 10 , 0 , 。。。
安徽 , 208623121 , 未知 , 悸动三月 , 256 , 2 , 0 , 呐
北京 , 208648115 , 男 , 活宅君 , 216265 , 21 , 11103 , 白嫖玩家，主攻硬核向攻略，偶尔水贴，喜欢的话点个关注吧！
广东 , 208821736 , 未知 , 资源l , 1072 , 2 , 2 , 为了奖励
江苏 , 208945446 , 男 , 彩云逐月 , 5 , 11 , 1 , 阿巴阿巴
江苏 , 209031869 , 未知 , 库库林· 白夜 , 2443 , 30 , 14 , 玄不救非，氪不改命。
安徽 , 209037968 , 未知 , 仓鼠凉凉keul , 10 , 6 , 0 , 可爱滴捏
四川 , 209278065 , 未知 , 此龍王狱友 , 208 , 5 , 1 , ？
重庆 , 209309428 , 未知 , VoidFogs , 55 , 1 , 1 , 。。。。
江苏 , 209421787 , 未知 , rLoZpVEbxlhgNOv , 14 , 0 , 0 , 瓦里瓦里瓦
山东 , 209443580 , 未知 , 优乐美1111 , 31 , 11 , 1 , 。
江西 , 209523387 , 未知 , 宇有芙芙 , 253 , 1 , 1 , 
山东 , 209829043 , 未知 , Zester也许 , 101 , 1 , 1 , 你好
江苏 , 209840653 , 未知 , 老叶儿 , 1 , 35 , 0 , 
